Date,Values
08-Mar-17,731.04
08-Mar-17,720.78
08-Mar-17,741.3
08-Mar-17,703.08
08-Mar-17,691.74
08-Mar-17,699.72
08-Mar-17,673.14
08-Mar-17,646.98
08-Mar-17,649.26
08-Mar-17,622.8
08-Mar-17,659.64
08-Mar-17,647.04
08-Mar-17,630.42
08-Mar-17,614.7
08-Mar-17,646.32
09-Mar-17,610.26
09-Mar-17,607.98
09-Mar-17,625.62
09-Mar-17,621.66
09-Mar-17,590.22
09-Mar-17,597.66
09-Mar-17,599.16
09-Mar-17,641.34
09-Mar-17,657.36
09-Mar-17,626.76
09-Mar-17,634.38
09-Mar-17,674.7
09-Mar-17,652.56
09-Mar-17,657.96
09-Mar-17,687.96
09-Mar-17,714.06
09-Mar-17,698.4
09-Mar-17,698.22
09-Mar-17,700.8
09-Mar-17,721.86
09-Mar-17,733.26
09-Mar-17,705.96
09-Mar-17,677.04
09-Mar-17,714.84
09-Mar-17,718.8
09-Mar-17,714.3
09-Mar-17,731.28
09-Mar-17,733.32
09-Mar-17,721.08
09-Mar-17,698.64
09-Mar-17,699.3
09-Mar-17,754.02
09-Mar-17,737.4
09-Mar-17,736.68
09-Mar-17,720.18
09-Mar-17,729.96
09-Mar-17,707.28
09-Mar-17,695.16
09-Mar-17,680.46
09-Mar-17,630.24
09-Mar-17,609.84
09-Mar-17,591.36
09-Mar-17,626.7
09-Mar-17,657.66
09-Mar-17,633.84
09-Mar-17,639.84
09-Mar-17,606.12
09-Mar-17,629.1
10-Mar-17,618.48
10-Mar-17,568.08
10-Mar-17,574.5
10-Mar-17,582.24
10-Mar-17,567.96
10-Mar-17,573.84
10-Mar-17,596.94
10-Mar-17,614.76
10-Mar-17,573.72
10-Mar-17,591.72
10-Mar-17,588.66
10-Mar-17,624.66
10-Mar-17,658.92
10-Mar-17,660.3
10-Mar-17,656.1
10-Mar-17,677.88
10-Mar-17,680.82
10-Mar-17,659.7
10-Mar-17,680.04
10-Mar-17,697.38
10-Mar-17,706.26
10-Mar-17,712.14
10-Mar-17,697.86
10-Mar-17,694.32
10-Mar-17,713.94
10-Mar-17,712.62
10-Mar-17,682.86
10-Mar-17,701.64
10-Mar-17,671.76
10-Mar-17,664.32
10-Mar-17,670.86
10-Mar-17,652.38
10-Mar-17,660.84
10-Mar-17,670.26
10-Mar-17,660.84
10-Mar-17,655.2
10-Mar-17,684.42
10-Mar-17,672.96
10-Mar-17,658.38
10-Mar-17,646.8
10-Mar-17,629.64
10-Mar-17,586.44
10-Mar-17,578.88
10-Mar-17,605.52
10-Mar-17,643.2
10-Mar-17,607.5
10-Mar-17,611.4
10-Mar-17,594.24
11-Mar-17,645.18
11-Mar-17,633.72
11-Mar-17,617.22
11-Mar-17,600.18
11-Mar-17,601.98
11-Mar-17,590.64
11-Mar-17,597.6
11-Mar-17,584.94
11-Mar-17,556.32
11-Mar-17,414.96
11-Mar-17,389.94
11-Mar-17,370.26
11-Mar-17,367.38
11-Mar-17,338.64
11-Mar-17,329.46
11-Mar-17,330.12
11-Mar-17,346.02
11-Mar-17,331.62
11-Mar-17,340.86
11-Mar-17,358.14
11-Mar-17,377.76
11-Mar-17,347.76
11-Mar-17,366.48
11-Mar-17,346.68
11-Mar-17,379.5
11-Mar-17,348.9
11-Mar-17,357.42
11-Mar-17,366.66
11-Mar-17,366.24
11-Mar-17,343.2
11-Mar-17,345.12
11-Mar-17,368.94
11-Mar-17,368.22
11-Mar-17,340.74
11-Mar-17,335.76
11-Mar-17,334.14
11-Mar-17,338.1
11-Mar-17,311.52
11-Mar-17,331.68
11-Mar-17,327.9
11-Mar-17,315.48
11-Mar-17,304.86
11-Mar-17,310.26
11-Mar-17,341.1
11-Mar-17,331.08
11-Mar-17,332.16
11-Mar-17,333.66
11-Mar-17,316.5
12-Mar-17,338.4
12-Mar-17,321.3
12-Mar-17,290.7
12-Mar-17,313.08
12-Mar-17,298.56
12-Mar-17,308.64
12-Mar-17,298.68
12-Mar-17,325.26
12-Mar-17,332.4
12-Mar-17,328.2
12-Mar-17,307.2
12-Mar-17,318.9
12-Mar-17,328.2
12-Mar-17,327.18
12-Mar-17,313.2
12-Mar-17,313.74
12-Mar-17,300.48
12-Mar-17,309.78
12-Mar-17,299.52
12-Mar-17,327.96
12-Mar-17,336.54
12-Mar-17,313.98
12-Mar-17,302.94
12-Mar-17,327.42
12-Mar-17,314.16
12-Mar-17,337.14
12-Mar-17,309.24
12-Mar-17,321.18
12-Mar-17,318.96
12-Mar-17,325.8
12-Mar-17,316.38
12-Mar-17,340.74
12-Mar-17,348.42
12-Mar-17,325.74
12-Mar-17,321.18
12-Mar-17,323.64
12-Mar-17,313.8
12-Mar-17,331.74
12-Mar-17,294.54
12-Mar-17,316.08
12-Mar-17,300.48
12-Mar-17,289.86
12-Mar-17,291.18
12-Mar-17,304.08
12-Mar-17,307.2
12-Mar-17,290.16
12-Mar-17,291.18
12-Mar-17,304.2
13-Mar-17,295.32
13-Mar-17,307.02
13-Mar-17,280.56
13-Mar-17,281.52
13-Mar-17,284.1
13-Mar-17,289.74
13-Mar-17,274.74
13-Mar-17,283.26
13-Mar-17,307.14
13-Mar-17,291.24
13-Mar-17,274.8
13-Mar-17,285.54
13-Mar-17,295.14
13-Mar-17,299.34
13-Mar-17,282.24
13-Mar-17,286.32
13-Mar-17,294.9
13-Mar-17,294.12
13-Mar-17,278.88
13-Mar-17,308.1
13-Mar-17,327.66
13-Mar-17,305.82
13-Mar-17,295.32
13-Mar-17,317.7
13-Mar-17,310.2
13-Mar-17,345.66
13-Mar-17,305.28
13-Mar-17,302.46
13-Mar-17,313.98
13-Mar-17,311.88
13-Mar-17,309.9
13-Mar-17,295.62
13-Mar-17,331.8
13-Mar-17,325.26
13-Mar-17,309.24
13-Mar-17,306.6
13-Mar-17,316.5
13-Mar-17,324.24
13-Mar-17,308.1
13-Mar-17,287.64
13-Mar-17,312
13-Mar-17,306.66
13-Mar-17,341.58
13-Mar-17,346.32
13-Mar-17,352.38
13-Mar-17,338.88
13-Mar-17,330.42
13-Mar-17,330.36
14-Mar-17,334.92
14-Mar-17,350.58
14-Mar-17,384.06
14-Mar-17,361.86
14-Mar-17,350.64
14-Mar-17,324
14-Mar-17,350.76
14-Mar-17,428.1
14-Mar-17,535.26
14-Mar-17,570
14-Mar-17,586.5
14-Mar-17,592.44
14-Mar-17,616.98
14-Mar-17,622.8
14-Mar-17,666.66
14-Mar-17,644.46
14-Mar-17,649.14
14-Mar-17,679.98
14-Mar-17,690.54
14-Mar-17,659.28
14-Mar-17,715.74
14-Mar-17,696.36
14-Mar-17,674.88
14-Mar-17,698.22
14-Mar-17,674.04
14-Mar-17,684.42
14-Mar-17,752.94
14-Mar-17,724.26
14-Mar-17,706.2
14-Mar-17,704.34
14-Mar-17,689.58
14-Mar-17,697.68
14-Mar-17,727.38
14-Mar-17,698.46
14-Mar-17,657.9
14-Mar-17,665.4
14-Mar-17,677.22
14-Mar-17,670.44
14-Mar-17,718.44
14-Mar-17,661.38
14-Mar-17,647.1
14-Mar-17,643.2
14-Mar-17,609.48
14-Mar-17,612.66
14-Mar-17,625.86
14-Mar-17,614.4
14-Mar-17,610.62
14-Mar-17,601.74
15-Mar-17,603.54
15-Mar-17,564.78
15-Mar-17,604.68
15-Mar-17,636.12
15-Mar-17,629.7
15-Mar-17,612.36
15-Mar-17,623.7
15-Mar-17,631.8
15-Mar-17,637.8
15-Mar-17,663.72
15-Mar-17,612.66
15-Mar-17,619.62
15-Mar-17,655.92
15-Mar-17,654.42
15-Mar-17,679.44
15-Mar-17,683.88
15-Mar-17,681.42
15-Mar-17,699.48
15-Mar-17,689.16
15-Mar-17,659.52
15-Mar-17,675.06
15-Mar-17,711.66
15-Mar-17,718.44
15-Mar-17,740.94
15-Mar-17,730.8
15-Mar-17,731.4
15-Mar-17,740.7
15-Mar-17,750.9
15-Mar-17,747.9
15-Mar-17,739.86
15-Mar-17,751.2
15-Mar-17,707.28
15-Mar-17,720.78
15-Mar-17,713.1
15-Mar-17,736.74
15-Mar-17,713.76
15-Mar-17,700.26
15-Mar-17,695.94
15-Mar-17,688.56
15-Mar-17,725.52
15-Mar-17,674.88
15-Mar-17,676.44
15-Mar-17,631.14
15-Mar-17,607.26
15-Mar-17,597.84
15-Mar-17,594.6
15-Mar-17,612.54
15-Mar-17,640.44
16-Mar-17,634.68
16-Mar-17,656.1
16-Mar-17,633
16-Mar-17,651.78
16-Mar-17,625.02
16-Mar-17,621.3
16-Mar-17,649.5
16-Mar-17,623.88
16-Mar-17,602.82
16-Mar-17,646.8
16-Mar-17,661.44
16-Mar-17,656.88
16-Mar-17,636.24
16-Mar-17,628.26
16-Mar-17,627.12
16-Mar-17,692.64
16-Mar-17,650.88
16-Mar-17,665.16
16-Mar-17,679.2
16-Mar-17,663.66
16-Mar-17,653.82
16-Mar-17,685.98
16-Mar-17,703.38
16-Mar-17,671.52
16-Mar-17,662.76
16-Mar-17,661.8
16-Mar-17,658.08
16-Mar-17,689.46
16-Mar-17,672.06
16-Mar-17,650.82
16-Mar-17,669.9
16-Mar-17,681.78
16-Mar-17,663.6
16-Mar-17,652.5
16-Mar-17,684.54
16-Mar-17,706.02
16-Mar-17,693.6
16-Mar-17,667.56
16-Mar-17,644.16
16-Mar-17,657.12
16-Mar-17,636.36
16-Mar-17,629.04
16-Mar-17,611.76
16-Mar-17,628.86
16-Mar-17,612.24
16-Mar-17,603.66
16-Mar-17,614.52
16-Mar-17,636.24
17-Mar-17,621.78
17-Mar-17,609.3
17-Mar-17,590.58
17-Mar-17,610.2
17-Mar-17,585.96
17-Mar-17,566.58
17-Mar-17,590.58
17-Mar-17,597.78
17-Mar-17,648
17-Mar-17,657.12
17-Mar-17,627.78
17-Mar-17,669.06
17-Mar-17,615.12
17-Mar-17,648.66
17-Mar-17,657.96
17-Mar-17,666
17-Mar-17,676.56
17-Mar-17,667.5
17-Mar-17,670.86
17-Mar-17,680.28
17-Mar-17,655.08
17-Mar-17,642.42
17-Mar-17,644.34
17-Mar-17,669.6
17-Mar-17,661.44
17-Mar-17,656.4
17-Mar-17,654.96
17-Mar-17,654.42
17-Mar-17,681.48
17-Mar-17,667.62
17-Mar-17,655.68
17-Mar-17,670.14
17-Mar-17,651.48
17-Mar-17,661.32
17-Mar-17,634.02
17-Mar-17,628.02
17-Mar-17,620.76
17-Mar-17,618.24
17-Mar-17,610.44
17-Mar-17,581.16
17-Mar-17,608.28
17-Mar-17,598.26
17-Mar-17,591.9
17-Mar-17,570.66
17-Mar-17,575.4
17-Mar-17,579.54
17-Mar-17,580.38
17-Mar-17,571.62
18-Mar-17,573.84
18-Mar-17,565.26
18-Mar-17,543.36
18-Mar-17,533.46
18-Mar-17,592.56
18-Mar-17,583.56
18-Mar-17,566.58
18-Mar-17,524.04
18-Mar-17,498.9
18-Mar-17,383.1
18-Mar-17,347.88
18-Mar-17,347.58
18-Mar-17,312.36
18-Mar-17,303.78
18-Mar-17,330.48
18-Mar-17,308.58
18-Mar-17,374.58
18-Mar-17,327.66
18-Mar-17,341.88
18-Mar-17,322.92
18-Mar-17,323.22
18-Mar-17,320.34
18-Mar-17,352.98
18-Mar-17,363.72
18-Mar-17,355.56
18-Mar-17,354.36
18-Mar-17,348.48
18-Mar-17,364.38
18-Mar-17,388.8
18-Mar-17,360.66
18-Mar-17,342.84
18-Mar-17,370.92
18-Mar-17,365.34
18-Mar-17,357
18-Mar-17,349.68
18-Mar-17,360.54
18-Mar-17,318.42
18-Mar-17,318.9
18-Mar-17,334.98
18-Mar-17,326.88
18-Mar-17,348.84
18-Mar-17,293.22
18-Mar-17,279.36
18-Mar-17,281.22
18-Mar-17,280.2
18-Mar-17,275.52
18-Mar-17,285.3
18-Mar-17,299.04
19-Mar-17,279.12
19-Mar-17,272.58
19-Mar-17,272.28
19-Mar-17,277.92
19-Mar-17,295.44
19-Mar-17,282.48
19-Mar-17,281.7
19-Mar-17,277.44
19-Mar-17,274.44
19-Mar-17,270.12
19-Mar-17,282.24
19-Mar-17,300
19-Mar-17,276.42
19-Mar-17,279
19-Mar-17,271.86
19-Mar-17,295.02
19-Mar-17,289.32
19-Mar-17,304.26
19-Mar-17,288.6
19-Mar-17,313.26
19-Mar-17,291.54
19-Mar-17,288.54
19-Mar-17,293.22
19-Mar-17,320.7
19-Mar-17,312
19-Mar-17,287.7
19-Mar-17,291.18
19-Mar-17,300.48
19-Mar-17,307.98
19-Mar-17,314.7
19-Mar-17,284.88
19-Mar-17,274.86
19-Mar-17,331.44
19-Mar-17,303
19-Mar-17,312.72
19-Mar-17,343.92
19-Mar-17,319.56
19-Mar-17,316.92
19-Mar-17,310.98
19-Mar-17,325.98
19-Mar-17,320.64
19-Mar-17,336.96
19-Mar-17,329.94
19-Mar-17,320.82
19-Mar-17,355.26
19-Mar-17,313.02
19-Mar-17,338.82
19-Mar-17,371.52
20-Mar-17,343.8
20-Mar-17,342.96
20-Mar-17,384.42
20-Mar-17,376.02
20-Mar-17,355.62
20-Mar-17,411.12
20-Mar-17,419.22
20-Mar-17,478.56
20-Mar-17,543.06
20-Mar-17,557.94
20-Mar-17,540.48
20-Mar-17,606.06
20-Mar-17,670.08
20-Mar-17,631.5
20-Mar-17,625.02
20-Mar-17,648.36
20-Mar-17,619.56
20-Mar-17,646.14
20-Mar-17,674.28
20-Mar-17,664.02
20-Mar-17,676.8
20-Mar-17,654.96
20-Mar-17,621.18
20-Mar-17,666.96
20-Mar-17,727.44
20-Mar-17,705.84
20-Mar-17,697.08
20-Mar-17,686.34
20-Mar-17,690.84
20-Mar-17,712.26
20-Mar-17,726.42
20-Mar-17,707.88
20-Mar-17,677.88
20-Mar-17,632.52
20-Mar-17,646.62
20-Mar-17,646.68
20-Mar-17,688.8
20-Mar-17,650.22
20-Mar-17,638.34
20-Mar-17,619.32
20-Mar-17,588.72
20-Mar-17,604.32
20-Mar-17,618.12
20-Mar-17,609.3
20-Mar-17,602.82
20-Mar-17,575.46
20-Mar-17,585.42
20-Mar-17,583.38
21-Mar-17,617.58
21-Mar-17,574.62
21-Mar-17,584.46
21-Mar-17,578.16
21-Mar-17,579.12
21-Mar-17,566.28
21-Mar-17,595.86
21-Mar-17,594.48
21-Mar-17,617.16
21-Mar-17,598.14
21-Mar-17,615.42
21-Mar-17,628.08
21-Mar-17,654.6
21-Mar-17,635.7
21-Mar-17,621.42
21-Mar-17,599.46
21-Mar-17,601.38
21-Mar-17,549.06
21-Mar-17,613.8
21-Mar-17,665.88
21-Mar-17,611.34
21-Mar-17,614.82
21-Mar-17,612.24
21-Mar-17,654.54
21-Mar-17,663.06
21-Mar-17,687.18
21-Mar-17,653.22
21-Mar-17,682.02
21-Mar-17,671.16
21-Mar-17,669.72
21-Mar-17,733.98
21-Mar-17,683.22
21-Mar-17,677.82
21-Mar-17,686.94
21-Mar-17,652.44
21-Mar-17,654.3
21-Mar-17,670.02
21-Mar-17,659.46
21-Mar-17,628.86
21-Mar-17,616.44
21-Mar-17,604.2
21-Mar-17,566.82
21-Mar-17,655.68
21-Mar-17,600.6
21-Mar-17,602.88
21-Mar-17,607.56
21-Mar-17,618.54
21-Mar-17,618.3
22-Mar-17,626.1
22-Mar-17,619.56
22-Mar-17,612.84
22-Mar-17,602.34
22-Mar-17,580.5
22-Mar-17,586.68
22-Mar-17,620.82
22-Mar-17,633.9
22-Mar-17,633.78
22-Mar-17,596.88
22-Mar-17,614.22
22-Mar-17,614.76
22-Mar-17,646.98
22-Mar-17,657
22-Mar-17,644.58
22-Mar-17,650.52
22-Mar-17,630.18
22-Mar-17,602.46
22-Mar-17,632.28
22-Mar-17,657.96
22-Mar-17,661.44
22-Mar-17,626.94
22-Mar-17,635.46
22-Mar-17,629.58
22-Mar-17,658.32
22-Mar-17,661.98
22-Mar-17,663.66
22-Mar-17,659.04
22-Mar-17,653.04
22-Mar-17,664.68
22-Mar-17,639.54
22-Mar-17,669.42
22-Mar-17,653.4
22-Mar-17,647.52
22-Mar-17,640.92
22-Mar-17,632.46
22-Mar-17,646.74
22-Mar-17,637.8
22-Mar-17,655.02
22-Mar-17,640.86
22-Mar-17,606.54
22-Mar-17,594.78
22-Mar-17,574.86
22-Mar-17,592.08
22-Mar-17,584.04
22-Mar-17,562.86
22-Mar-17,574.68
22-Mar-17,553.02
23-Mar-17,564
23-Mar-17,581.4
23-Mar-17,590.34
23-Mar-17,581.4
23-Mar-17,539.1
23-Mar-17,560.94
23-Mar-17,551.94
23-Mar-17,612.42
23-Mar-17,588.84
23-Mar-17,572.7
23-Mar-17,564.36
23-Mar-17,564
23-Mar-17,580.14
23-Mar-17,585.72
23-Mar-17,598.08
23-Mar-17,607.32
23-Mar-17,579.18
23-Mar-17,593.7
23-Mar-17,562.02
23-Mar-17,624.36
23-Mar-17,629.64
23-Mar-17,624.24
23-Mar-17,648.24
23-Mar-17,614.64
23-Mar-17,598.14
23-Mar-17,647.64
23-Mar-17,673.92
23-Mar-17,662.64
23-Mar-17,687.78
23-Mar-17,698.28
23-Mar-17,681.42
23-Mar-17,724.56
23-Mar-17,698.1
23-Mar-17,697.26
23-Mar-17,677.1
23-Mar-17,672.96
23-Mar-17,631.98
23-Mar-17,630.06
23-Mar-17,658.38
23-Mar-17,637.32
23-Mar-17,596.4
23-Mar-17,605.7
23-Mar-17,593.4
23-Mar-17,594.12
23-Mar-17,597.6
23-Mar-17,580.56
23-Mar-17,583.5
23-Mar-17,571.62
24-Mar-17,561.78
24-Mar-17,590.7
24-Mar-17,612.9
24-Mar-17,558.9
24-Mar-17,556.2
24-Mar-17,551.7
24-Mar-17,535.5
24-Mar-17,587.58
24-Mar-17,609.66
24-Mar-17,581.4
24-Mar-17,571.26
24-Mar-17,574.68
24-Mar-17,566.76
24-Mar-17,623.52
24-Mar-17,607.32
24-Mar-17,577.44
24-Mar-17,578.1
24-Mar-17,572.4
24-Mar-17,584.52
24-Mar-17,623.88
24-Mar-17,653.28
24-Mar-17,652.38
24-Mar-17,660.36
24-Mar-17,643.26
24-Mar-17,619.08
24-Mar-17,648.66
24-Mar-17,680.94
24-Mar-17,635.4
24-Mar-17,606.9
24-Mar-17,637.26
24-Mar-17,660.48
24-Mar-17,612.78
24-Mar-17,669.66
24-Mar-17,645.96
24-Mar-17,607.98
24-Mar-17,588.36
24-Mar-17,539.82
24-Mar-17,564.06
24-Mar-17,651.54
24-Mar-17,616.68
24-Mar-17,559.2
24-Mar-17,545.16
24-Mar-17,568.32
24-Mar-17,562.2
24-Mar-17,606
24-Mar-17,581.4
24-Mar-17,574.68
24-Mar-17,578.04
25-Mar-17,580.14
25-Mar-17,591.36
25-Mar-17,635.34
25-Mar-17,591.18
25-Mar-17,585.36
25-Mar-17,576.12
25-Mar-17,586.92
25-Mar-17,558.42
25-Mar-17,615.06
25-Mar-17,555.84
25-Mar-17,510.96
25-Mar-17,539.4
25-Mar-17,531.78
25-Mar-17,528.06
25-Mar-17,550.5
25-Mar-17,482.46
